idPelicula,titulo,año_lanzamiento,resumen
1,"El padrino",1972,"La familia Corleone es una de las más poderosas de la mafia en Nueva York. Michael Corleone se ve envuelto en una espiral de violencia y traición tras la muerte de su padre, Vito Corleone."
2,"El señor de los anillos: La comunidad del anillo",2001,"Frodo Bolsón emprende un peligroso viaje para destruir un poderoso anillo que amenaza con sumir a la Tierra Media en la oscuridad."
3,"Forrest Gump",1994,"Forrest Gump narra su vida desde su infancia con problemas de aprendizaje hasta su participación en importantes eventos históricos de Estados Unidos."
4,"Titanic",1997,"El romance entre Jack y Rose se ve amenazado por el trágico hundimiento del RMS Titanic en su viaje inaugural."
5,"Interestelar",2014,"Un grupo de astronautas emprende un viaje interestelar en busca de un nuevo hogar para la humanidad, enfrentándose a peligros y descubrimientos sorprendentes."
6,"La lista de Schindler",1993,"Oskar Schindler, un empresario alemán, salva la vida de más de mil judíos durante el Holocausto al emplearlos en su fábrica de utensilios de cocina."
7,"El rey león",1994,"Simba, un joven león, debe enfrentarse a su destino y reclamar el trono de su padre tras la muerte de este."
8,"El club de la pelea",1999,"Un hombre desilusionado con la sociedad forma un club de lucha clandestino que se convierte en un movimiento anarquista."
9,"Matrix",1999,"Neo, un hacker, descubre la verdad sobre la realidad humana y se une a la lucha contra las máquinas que la controlan."
10,"El laberinto del fauno",2006,"En la España posguerra, una niña descubre un mundo fantástico habitado por seres mágicos mientras lidia con la brutalidad de su padrastro, un capitán del ejército franquista."
