idSerie,titulo,año_lanzamiento,resumen
1,Juego de Tronos,2011,En los Siete Reinos de Westeros, varias familias luchan por el control del Trono de Hierro mientras se avecina un peligroso invierno y los muertos caminan.
2,Breaking Bad,2008,Un profesor de química se convierte en un importante fabricante de metanfetaminas tras ser diagnosticado con cáncer, adentrándose en el mundo del crimen.
3,Friends,1994,Un grupo de amigos neoyorquinos vive diversas aventuras y situaciones cómicas mientras enfrentan los desafíos de la vida adulta.
4,Stranger Things,2016,En un pequeño pueblo, un grupo de niños se enfrenta a fuerzas sobrenaturales y al gobierno para rescatar a su amigo desaparecido y descubrir secretos oscuros.
5,Dr.house,2005,Un médico excéntrico y brillante lidera un equipo de doctores en el Hospital Universitario de Princeton-Plainsboro, resolviendo casos médicos complejos.
6,The Crown,2016,La serie sigue la vida de la reina Isabel II desde su ascenso al trono británico, explorando su reinado y las complejas relaciones de la familia real.
7,Black Mirror,2011,Cada episodio presenta una historia independiente que explora los aspectos oscuros y perturbadores de la tecnología y la sociedad contemporánea.
8,Narcos,2015,La serie narra la historia del ascenso y la caída del narcotraficante colombiano Pablo Escobar, así como la lucha de la DEA para detenerlo.
9,Peaky Blinders,2013,La familia Shelby dirige una banda de gánsteres en la ciudad de Birmingham durante la posguerra, enfrentándose a rivales y autoridades mientras buscan poder y riqueza.
10,The Mandalorian,2019,Un cazarrecompensas solitario emprende peligrosas misiones en los confines de la galaxia, protegiendo a un misterioso niño que es objeto de interés para muchas facciones.
